price_log,city,condition,grade,floors,bedrooms,bathrooms,sqft_living_log,sqft_lot_log,house_age,school_rate,unemployment_rate,travel_time_to_work,total_population,typical_levy_rate,median_age,median_household_income,area_crime
5.640978057358332,Issaquah,4,9,2.0,3,2.25,3.294466226161593,4.545307116465824,46,0.8503823,0.051,28.6,27855.0,0.1137,41.7,102760.0,1079.0
5.799340549453582,Issaquah,3,9,2.0,4,2.75,3.432969290874406,4.571440953685393,23,0.8503823,0.051,28.6,27855.0,0.1137,41.7,102760.0,1079.0
5.579646429331813,Issaquah,4,7,1.0,3,2.5,3.2174839442139063,4.1477999492012,37,0.8503823,0.051,28.6,27855.0,0.1137,41.7,102760.0,1079.0
5.720893260957511,Issaquah,5,7,1.0,5,1.75,3.406540180433955,4.856571815297643,63,0.8503823,0.051,28.6,27855.0,0.1137,41.7,102760.0,1079.0
5.6127838567197355,Issaquah,4,8,1.0,3,2.25,3.255272505103306,4.5647133962211734,45,0.8503823,0.051,28.6,27855.0,0.1137,41.7,102760.0,1079.0
5.949390006644912,Issaquah,3,10,2.0,5,3.5,3.6522463410033232,3.7781512503836434,17,0.8503823,0.051,28.6,27855.0,0.1137,41.7,102760.0,1079.0
5.707485011967473,Issaquah,3,8,2.0,3,2.5,3.2528530309798933,3.4313637641589874,13,0.8503823,0.051,28.6,27855.0,0.1137,41.7,102760.0,1079.0
5.744292983122676,Issaquah,3,8,2.0,3,2.5,3.287801729930226,3.5066403055665023,14,0.8503823,0.051,28.6,27855.0,0.1137,41.7,102760.0,1079.0
5.797267540830717,Issaquah,3,8,1.0,4,2.25,3.298853076409707,3.887167020894774,50,0.8503823,0.051,28.6,27855.0,0.1137,41.7,102760.0,1079.0
5.6180480967120925,Issaquah,3,8,2.5,3,2.25,3.2095150145426308,2.999130541287371,13,0.8503823,0.051,28.6,27855.0,0.1137,41.7,102760.0,1079.0
5.949390006644912,Issaquah,3,10,2.0,4,4.25,3.645422269349092,3.7596678446896306,17,0.8503823,0.051,28.6,27855.0,0.1137,41.7,102760.0,1079.0
5.782472624166286,Issaquah,3,9,2.0,4,2.5,3.3242824552976926,4.141449773400467,36,0.8503823,0.051,28.6,27855.0,0.1137,41.7,102760.0,1079.0
5.778151250383644,Issaquah,4,9,1.0,3,2.5,3.3909351071033793,5.037027879755775,46,0.8503823,0.051,28.6,27855.0,0.1137,41.7,102760.0,1079.0
5.7283537820212285,Issaquah,3,8,2.0,3,2.5,3.357934847000454,3.359645792674543,17,0.8503823,0.051,28.6,27855.0,0.1137,41.7,102760.0,1079.0
5.698970004336019,Issaquah,4,8,1.0,3,2.5,3.287801729930226,4.574783393175776,36,0.8503823,0.051,28.6,27855.0,0.1137,41.7,102760.0,1079.0
5.748188027006201,Issaquah,3,8,1.0,3,2.0,3.2695129442179165,4.1262613188638815,38,0.8503823,0.051,28.6,27855.0,0.1137,41.7,102760.0,1079.0
5.791044690800745,Issaquah,3,8,2.0,3,2.5,3.307496037913213,3.8129133566428557,35,0.8503823,0.051,28.6,27855.0,0.1137,41.7,102760.0,1079.0
5.469822015978163,Issaquah,3,7,1.0,2,1.75,3.342422680822206,4.950841732139492,50,0.8503823,0.051,28.6,27855.0,0.1137,41.7,102760.0,1079.0
6.35003275656851,Issaquah,3,12,2.0,5,6.5,3.8615344108590377,5.11400014094914,13,0.8503823,0.051,28.6,27855.0,0.1137,41.7,102760.0,1079.0
5.883661435153617,Issaquah,3,10,2.0,4,2.75,3.4456042032735974,4.034187120793453,27,0.8503823,0.051,28.6,27855.0,0.1137,41.7,102760.0,1079.0
5.587710965018911,Issaquah,3,7,2.0,3,2.25,3.1598678470925665,3.205745540942662,20,0.8503823,0.051,28.6,27855.0,0.1137,41.7,102760.0,1079.0
5.725911632295048,Issaquah,4,8,1.0,5,3.0,3.5415792439465807,4.759660291676441,47,0.8503823,0.051,28.6,27855.0,0.1137,41.7,102760.0,1079.0
5.896526217489555,Issaquah,3,9,2.0,4,3.25,3.5658478186735176,3.7603470785299065,20,0.8503823,0.051,28.6,27855.0,0.1137,41.7,102760.0,1079.0
5.8904210188009145,Issaquah,3,10,2.0,3,3.25,3.5575072019056577,4.775806982758956,20,0.8503823,0.051,28.6,27855.0,0.1137,41.7,102760.0,1079.0
5.734799829588847,Issaquah,3,7,1.5,2,2.0,3.374748346010104,5.338057875419756,31,0.8503823,0.051,28.6,27855.0,0.1137,41.7,102760.0,1079.0
5.918528335883243,Issaquah,3,9,2.0,4,3.5,3.5943925503754266,3.754348335711019,10,0.8503823,0.051,28.6,27855.0,0.1137,41.7,102760.0,1079.0
5.838786144946595,Issaquah,3,9,2.0,4,3.25,3.437750562820388,3.861295393526696,20,0.8503823,0.051,28.6,27855.0,0.1137,41.7,102760.0,1079.0
5.883661435153617,Issaquah,3,10,2.0,5,3.75,3.5538830266438746,4.154576116917886,24,0.8503823,0.051,28.6,27855.0,0.1137,41.7,102760.0,1079.0
5.786041210242554,Issaquah,3,8,2.5,3,2.5,3.329194415088451,3.2975416678181597,15,0.8503823,0.051,28.6,27855.0,0.1137,41.7,102760.0,1079.0
5.863382348440788,Issaquah,3,9,2.0,4,2.5,3.494154594018443,4.155336037465061,20,0.8503823,0.051,28.6,27855.0,0.1137,41.7,102760.0,1079.0
5.576916955965207,Issaquah,3,7,2.0,3,2.25,3.1492191126553797,3.1389339402569236,18,0.8503823,0.051,28.6,27855.0,0.1137,41.7,102760.0,1079.0
5.939019776448666,Issaquah,4,8,2.0,5,3.25,3.621176281775035,4.692159256081884,44,0.8503823,0.051,28.6,27855.0,0.1137,41.7,102760.0,1079.0
5.752048447819439,Issaquah,4,8,2.0,4,2.25,3.3242824552976926,4.029302593558998,44,0.8503823,0.051,28.6,27855.0,0.1137,41.7,102760.0,1079.0
5.720159303405957,Issaquah,3,8,1.0,4,1.75,3.383815365980431,3.8849085941626074,44,0.8503823,0.051,28.6,27855.0,0.1137,41.7,102760.0,1079.0
5.518513939877887,Issaquah,4,6,1.0,3,1.0,3.0718820073061255,4.634719037367886,64,0.8503823,0.051,28.6,27855.0,0.1137,41.7,102760.0,1079.0
5.894869656745253,Issaquah,3,10,2.0,4,3.5,3.4871383754771865,3.6706168864003255,14,0.8503823,0.051,28.6,27855.0,0.1137,41.7,102760.0,1079.0
5.591063493449477,Issaquah,3,7,2.0,3,2.25,3.1598678470925665,3.16761267272753,20,0.8503823,0.051,28.6,27855.0,0.1137,41.7,102760.0,1079.0
5.598188422187391,Issaquah,5,8,1.0,3,1.75,3.187520720836463,4.0950297966484515,56,0.8503823,0.051,28.6,27855.0,0.1137,41.7,102760.0,1079.0
5.632457292184724,Issaquah,3,8,2.0,3,2.5,3.383815365980431,4.6983441695728265,38,0.8503823,0.051,28.6,27855.0,0.1137,41.7,102760.0,1079.0
